"IMSI","IMEI","Start GUMMEI","End GUMMEI","Start Time","End Time","Start Type","End Type","Start MME UE S1AP ID","End MME UE S1AP ID","Start eNB UE S1AP ID","End eNB UE S1AP ID","Total","IMSI Blank","LSR No Key","LSR No IMEI","IMSI Mapped","DMS Not Match","KEY NO IMEI","KEY NO IMSI","IMEI NO KEY","IMEI NO IMSI","IMEI NO NewIMSI","IMSI NO KEY","IMSI NO IMEI","NewIMSI NO IMEI","IMEI Mapped","NewIMSI NO NewIMEI","KEY IMSI Mapping","IMEI IMSI Mapping","DMS IMSI Mapping","KEY NO IMEI Mapping","IMEI NO KEY Mapping","Session Error","Start Type:Connection Reestablishment","Start Type:New Connection","Start Type:S1 Handover","Start Type:Unknown","Start Type:X2 Handover","End Type:Connection Release","End Type:Failed Attempt","End Type:Intra-eNB Handover","End Type:Outgoing S1 Handover","End Type:Outgoing X2 Handover","End Type:Unknown","DMS Match","Key Rate","IMEI Rate","Orig IMSI Rate","KEY NO IMEI Rate","KEY NO IMSI Rate","IMEI NO KEY Rate","IMEI NO IMSI Rate","IMEI NO NewIMSI Rate","IMSI NO KEY Rate","IMSI NO IMEI Rate","NewIMSI NO IMEI Rate","NewIMEI Rate","NewIMSI NO NewIMEI Rate","DMS Not Match Rate","Keyed DMS Match Rate","DMS Match Rate","Mapped Rate","Keyed Mapped Rate","Keyed Mapped Rate (with Blank)","KEY IMSI Mapping Rate","IMEI IMSI Mapping Rate","DMS IMSI Mapping Rate","KEY NO IMEI Mapping Rate","IMEI NO KEY Mapping Rate","File Path","File Time","Sync Time"
"104137","130923","371659","79272","412494","412494","412494","412494","393439","394395","390463","388765","412494","5715","21365","281571","326065","59357","260214","287000","8","27213","2041","8","427","197183","328106","0","316405","130588","328091","197503","0","0","13876","333640","108","9223","55647","325032","3060","","45","71669","12688","331772.0","94.82%","31.74%","25.25%","63.08%","69.58%","0.0%","6.6%","0.49%","0.0%","0.1%","47.8%","79.54%","0.0%","14.39%","84.82%","80.43%","79.05%","83.37%","84.83%","76.71%","31.66%","79.54%","47.88%","0.0%","10.108.200.141/180522/14/2018052214.1526971258.csv","2018-05-22 14:40:58","2018-05-22 14:44:32"
"120898","151608","427885","86309","478436","478436","478436","478436","453102","454127","449755","447979","478436","4662","27954","326828","305219","140607","298880","329590","6","31249","11105","6","539","164716","316324","0","261792","151234","315996","164762","0","0","15066","387843","106","13842","61579","379403","4232","1","66","76945","17789","309875.0","94.16%","31.69%","25.27%","62.47%","68.89%","0.0%","6.53%","2.32%","0.0%","0.11%","34.43%","66.12%","0.0%","29.39%","68.79%","64.77%","63.8%","67.75%","68.79%","54.72%","31.61%","66.05%","34.44%","0.0%","10.108.200.141/180522/14/2018052214.1526970958.csv","2018-05-22 14:35:58","2018-05-22 14:39:58"
"0","1","1","0","1","1","1","1","1","1","1","1","1","0","0","0","1","0","0","1","0","1","0","0","0","0","1","0","1","0","1","1","0","0","0","1","","0","0","0","0","","0","0","1","1.0","100.0%","100.0%","0.0%","0.0%","100.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","0.0%","10.108.200.141/180522/13/2018052213.1526970718.csv","2018-05-22 14:31:58","2018-05-22 14:32:53"
"97095","121898","338864","61655","376256","376256","376256","376256","357764","358569","355192","354030","376256","5434","20479","254358","305090","45271","233897","258696","18","25205","1725","14","402","184917","306815","0","296925","121589","306795","185206","0","0","12106","311097","81","9690","43282","306127","2950","","71","54318","12790","310506.0","94.56%","32.4%","25.81%","62.16%","68.76%","0.0%","6.7%","0.46%","0.0%","0.11%","49.15%","81.54%","0.0%","12.03%","87.28%","82.53%","81.09%","85.75%","87.28%","78.92%","32.32%","81.54%","49.22%","0.0%","10.108.200.141/180522/14/2018052214.1526970713.csv","2018-05-22 14:31:53","2018-05-22 14:35:22"
"0","0","0","0","1","1","1","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","0","0","0","","0","0","1","0.0","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","10.108.200.141/180522/13/2018052213.1526970413.csv","2018-05-22 14:26:53","2018-05-22 14:27:52"
"116684","146602","416796","86558","471570","471570","471570","471570","442198","443128","438850","436956","471570","6561","32003","324968","368050","64967","292976","322892","11","30390","2245","9","472","223693","370295","0","357976","146231","370266","224035","0","0","14150","375062","112","19038","63208","367026","3880","","71","77660","22933","374600.0","93.21%","31.09%","24.74%","62.13%","68.47%","0.0%","6.44%","0.48%","0.0%","0.1%","47.44%","78.52%","0.0%","13.78%","85.22%","79.44%","78.05%","83.73%","85.22%","75.91%","31.01%","78.52%","47.51%","0.0%","10.108.200.141/180522/14/2018052214.1526970413.csv","2018-05-22 14:26:53","2018-05-22 14:30:53"
"105432","132188","379011","82218","420263","420263","420263","420263","400840","401716","398089","396202","420263","5831","21506","288075","329687","63248","266577","293334","8","27198","2138","9","442","199637","331825","0","319190","131855","331800","199945","0","0","13174","338505","101","10111","58372","329141","3140","","57","74569","13356","335509.0","94.88%","31.45%","25.09%","63.43%","69.8%","0.0%","6.47%","0.51%","0.0%","0.11%","47.5%","78.96%","0.0%","15.05%","84.14%","79.83%","78.45%","82.68%","84.14%","75.95%","31.37%","78.95%","47.58%","0.0%","10.108.200.141/180522/14/2018052214.1526970163.csv","2018-05-22 14:22:43","2018-05-22 14:26:43"
"0","0","0","0","329","329","329","329","329","329","0","0","329","0","329","329","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","329","0","0","","0","0","329","0.0","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","10.108.200.141/180522/13/2018052213.1526970103.csv","2018-05-22 14:21:43","2018-05-22 14:21:43"
"101252","126945","358820","72048","395352","395352","395352","395352","377519","378274","376608","375093","395352","5156","18121","268407","298148","73936","250295","275984","9","26147","4408","5","454","175611","302556","0","280259","126622","302439","175817","0","0","12321","325066","75","8804","49086","317643","3236","","52","64178","10243","303295.0","95.42%","32.11%","25.61%","63.31%","69.81%","0.0%","6.61%","1.11%","0.0%","0.11%","44.42%","76.53%","0.0%","18.7%","80.4%","76.72%","75.41%","79.04%","80.4%","70.89%","32.03%","76.5%","44.47%","0.0%","10.108.200.141/180522/14/2018052214.1526969918.csv","2018-05-22 14:18:38","2018-05-22 14:21:43"
"0","0","0","0","6059","6059","6059","6059","2612","2612","0","0","6059","0","6059","6059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130","836","","2481","2612","0","836","","0","0","5223","0.0","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","10.108.200.141/180522/13/2018052213.1526969818.csv","2018-05-22 14:16:58","2018-05-22 14:20:13"
